Trial,Goal,PGreen,PRed,AvgBounces,AvgTime
regular_42,G,0.6132,0.3868,4.3478,4.19639
regular_6,G,0.4516,0.5484,0.8314,2.88186
regular_49,R,0.3472,0.6528,1.9324,3.85089
regular_19,G,0.4618,0.5382,2.9312,6.8448
regular_30,G,0.798,0.202,3.1978,5.29455
regular_47,R,0.3814,0.6184,4.6588,6.8316
regular_90,G,0.3286,0.6714,17.159,7.00982
regular_5,R,0.5332,0.4666,4.3222,6.17117
regular_75,R,0.2334,0.7656,6.6434,6.18504
regular_37,R,0.191,0.8046,11.903,13.30438
regular_15,G,0.082,0.918,5.5054,3.8071
regular_24,G,0.9208,0.0792,4.4096,4.71821
regular_33,R,0.4956,0.504,4.4332,6.15542
regular_14,G,0.3076,0.6912,7.7458,10.63841
regular_78,G,0.1288,0.861,17.0134,10.86788
regular_85,G,0.8628,0.1372,7.0816,3.68563
regular_1,G,0.6258,0.3736,3.2828,7.4986
regular_83,G,0.231,0.7666,11.0214,9.42636
regular_16,G,0.655,0.345,8.6964,4.36567
regular_95,G,0.7588,0.2408,10.6168,6.77097
regular_41,R,0.1286,0.8714,11.2918,8.85585
regular_18,G,0.6898,0.3082,7.4684,9.54415
regular_56,R,0.116,0.8822,8.8528,4.85723
regular_60,R,0.339,0.658,10.3916,8.12071
regular_73,G,0.709,0.1712,28.6658,21.89898
regular_4,R,0.1186,0.8814,1.571,2.24883
regular_29,R,0.0894,0.9104,2.9412,5.90284
regular_62,G,0.7552,0.2448,8.714,7.73437
regular_10,R,0.2538,0.7462,2.9782,5.76329
regular_21,R,0.5396,0.4604,12.5504,8.17039
regular_51,G,0.9414,0.0556,14.12,10.38478
regular_57,G,0.4968,0.5028,4.7294,7.13265
regular_22,G,0.4252,0.5746,5.3314,7.16336
regular_63,R,0.2882,0.7108,8.0588,7.36289
regular_72,R,0.1416,0.858,11.4506,7.58634
regular_3,R,0.1702,0.8298,3.4716,4.17689
regular_91,R,0.6292,0.3706,3.8994,4.10165
regular_35,G,0.3472,0.6514,4.2406,5.85083
regular_45,G,0.6522,0.3478,4.4618,5.68057
regular_74,G,0.5192,0.4806,11.3416,7.2589
regular_67,G,0.9416,0.0582,5.3392,5.85461
regular_43,R,0.5896,0.41,6.506,7.53016
regular_11,R,0.2172,0.7796,4.1028,6.86987
regular_64,G,0.7066,0.2934,5.5738,5.34107
regular_59,R,0.4956,0.5044,6.6156,6.36671
regular_54,R,0.7908,0.209,2.7468,4.29972
regular_13,G,0.3108,0.6892,5.1418,7.54656
regular_12,G,0.3824,0.617,5.574,7.58228
regular_32,R,0.6478,0.3492,5.8984,7.71713
regular_27,G,0.5958,0.4012,5.9124,8.58053
regular_65,G,0.4908,0.5092,6.4756,7.70028
regular_58,G,0.4504,0.5492,4.384,6.57473
regular_82,R,0.023,0.9412,28.1064,16.41618
regular_81,G,0.9848,0.0132,6.7426,6.59603
regular_89,R,0.4934,0.5066,3.419,3.37784
regular_55,G,0.6674,0.3302,10.4652,10.78682
regular_80,R,0.4262,0.5738,6.5568,6.84943
regular_68,R,0.1706,0.8294,6.9614,5.97434
regular_7,G,0.8098,0.1902,4.6518,6.14246
regular_2,G,0.5288,0.4708,4.6602,5.9251
regular_26,R,0.0,1.0,7.678,5.65102
regular_8,R,0.4266,0.5728,5.3206,7.08089
regular_0,R,0.1822,0.8176,3.796,6.20989
regular_93,G,0.3438,0.6034,24.7884,19.9513
regular_9,R,0.0278,0.9722,1.5122,2.69337
regular_84,G,0.9008,0.0866,23.429,14.48262
regular_28,R,0.1598,0.8402,3.8556,4.53994
regular_39,G,0.6086,0.3914,13.4774,8.53806
regular_25,R,0.635,0.3648,3.4848,4.79744
regular_66,R,0.6266,0.3642,13.689,14.94531
regular_71,R,0.1946,0.8052,7.7654,6.78934
regular_20,G,0.6826,0.3166,5.6986,9.65012
regular_88,G,0.2812,0.7172,7.1702,5.36648
regular_79,G,0.826,0.1522,14.3122,10.55018
regular_92,R,0.1992,0.7986,11.4052,9.6902
regular_53,R,0.6026,0.3942,7.6858,7.63795
regular_77,G,1.0,0.0,3.4788,4.07865
regular_69,G,0.646,0.3522,9.1208,8.69455
regular_86,G,0.9238,0.0762,7.6372,5.75791
regular_40,R,0.2802,0.7176,4.2384,7.15349
regular_48,R,0.5936,0.4062,2.0948,3.34552
regular_76,R,0.0724,0.9124,17.4874,15.20822
regular_34,G,0.6872,0.3128,4.7448,6.20999
regular_87,G,0.4842,0.5158,2.1674,2.55456
regular_52,R,0.175,0.8246,7.443,6.66523
regular_36,G,0.2692,0.7308,2.5868,4.29153
regular_70,G,0.5212,0.4786,4.3348,5.95218
regular_23,R,0.2634,0.7304,4.6902,7.21863
regular_50,R,0.5336,0.4664,6.7466,6.64874
regular_38,G,0.6702,0.3298,8.5448,6.08615
regular_31,G,0.4446,0.5546,4.1602,5.55925
regular_46,G,0.7712,0.2284,6.066,7.38126
regular_94,G,0.4476,0.5524,3.9942,4.15967
regular_44,G,0.5632,0.4358,12.4062,11.53582
regular_17,G,0.5874,0.4114,6.1162,9.90663
regular_61,R,0.1136,0.8864,6.4378,5.13665
